Laser Pointer Tracking Report (Frame by Frame)
Frame	X	Y	dX	dY
0	630	240	0	0
1	610	248	-20	8
2	610	248	0	0
3	602	242	-8	-6
4	598	242	-4	0
5	598	242	0	0
6	571	242	-27	0
7	563	245	-8	3
8	563	245	0	0
9	552	240	-11	-5
10	548	241	-4	1
11	548	241	0	0
12	526	247	-22	6
13	519	245	-7	-2
14	519	245	0	0
15	500	242	-19	-3
16	481	237	-19	-5
17	481	237	0	0
18	456	236	-25	-1
19	450	235	-6	-1
20	450	235	0	0
21	434	238	-16	3
22	429	239	-5	1
23	429	239	0	0
24	413	239	-16	0
25	404	243	-9	4
26	404	243	0	0
27	386	244	-18	1
28	381	242	-5	-2
29	381	242	0	0
30	365	238	-16	-4
31	352	230	-13	-8
32	352	230	0	0
33	342	220	-10	-10
34	335	219	-7	-1
35	335	219	0	0
36	316	223	-19	4
37	306	225	-10	2
38	306	225	0	0
39	297	237	-9	12
40	291	244	-6	7
41	291	244	0	0
42	269	244	-22	0
43	264	243	-5	-1
44	264	243	0	0
45	251	241	-13	-2
46	238	239	-13	-2
47	238	239	0	0
48	219	234	-19	-5
49	212	232	-7	-2
50	212	232	0	0
51	193	239	-19	7
52	184	239	-9	0
53	184	239	0	0
54	165	235	-19	-4
55	160	234	-5	-1
56	160	234	0	0
57	144	235	-16	1
58	135	239	-9	4
59	135	239	0	0
60	120	243	-15	4
61	102	248	-18	5
62	102	248	0	0
63	93	255	-9	7
64	84	255	-9	0
65	84	255	0	0
66	55	252	-29	-3
67	50	252	-5	0
68	50	252	0	0
69	34	254	-16	2
70	28	252	-6	-2
71	28	252	0	0
